Title,Input,Device Type,Input Specs,Local user,Remote user,UI/UX,Visual,Haptic,Auditory,Remarks,Collab Style,Video,Publication,Year,Month,Citation,PubType,Application,Thumb
Simulating obstetric forceps delivery in an augmented environment,,,,,,,,,,,,,AMI ARCS,2004,Sep,14,,,
LINACVR: VR Simulation for Radiation Therapy Education,3D Scene,HMD,HTC Vive,,,,,,,,,,VRST,2019,Nov,1,,,
Extended reality for chronic pain relief,,,,,,,,,,,,,VRST,2019,Nov,0,,,
User evaluation of polymetric views using a large visualization wall,,,,,,,,,,,,,VISSOFT,2010,Oct,32,,,
Beyond Halo and Wedge : Visualizing Out-of-View Objects on Head-mounted Virtual and Augmented Reality Devices,,,,,,,,,,,,,MobileHCI,2018,Sep,20,,,
HPC enabled immersive and non-immersive visualization of large scale scientific data,,,,,,,,,,,,,DTIS,2019,May,1,,,
Design space for spatio-data coordination: Tangible interaction devices for immersive information visualisation,,,,,,,,,,,,,PacificVis,2017,Apr,33,,,
DebugAr: Mixed dimensional displays for immersive debugging of distributed systems,,,,,,,,,,,,https://www.youtube.com/watch?v=4IXhZOnp6y4,CHI,2018,Apr,8,Technology,immersive visualization,
The use of surrounding visual context in handheld AR: Device vs. user perspective rendering,,,,,,,,,,,,https://www.youtube.com/watch?v=C9UgJmmE7xk,CHI,2014,Apr,32,User Study,immersive visualization,
Augmented Virtual Teleportation for High-Fidelity Telecollaboration (AVT),360 Video,HMD,360 video,VR,VR,Awareness,,,,,,https://www.youtube.com/watch?v=_6yiSnEa5vM,TVCG,2020,Feb,1,System,immersive collaboration,1
JackIn Head: Immersive Visual Telepresence System with Omnidirectional Wearable Camera,360 Video,HHD,360 video,Custom HMD,VR,Awareness,,,,,,https://www.youtube.com/watch?v=U9i7taUXtdg,TVCG,2016,Dec,37,System,immersive collaboration,0
Vishnu: Virtual immersive support for Helping users an interaction paradigm for collaborative remote guiding in mixed reality,Image,HHD,,,,UI/UX,,,,,,,3DCVE,2016,Mar,32,,,0
Context-of-Interest Driven Trans-Space Convergence for Spatial Co-presence,Point Clouds,HMD,,,,,,,,,,,DAPI,2013,Jul,2,,,
Sharedsphere: MR collaboration through shared live panorama,360 Video,HHD,360 video + panorama video,AR,VR,Awareness,,Natural Hand Gesture,users viewframe visualised as coloured rectangle,360 camera mounted on AR,,https://www.youtube.com/watch?v=FFF6qP5Ap44,SIGGRAPH,2017,Nov,17,System,social interaction,0
Real-time Visual Representations for Mixed Reality Remote Collaboration,Point Clouds,HHD,Point clouds,VR,VR,Awareness,,,,Wide Angle camera attached with VR (Produce seethrough AR) + short range Depth sensor to update nearby point clouds,,, ICAT-EGVE,2017,Dec,7,,,0
